IP,jsonH1,jsonH2,getH1,getH2,postH1,postH2,hostname,ESNIsupport,TLS13support
54.79.3.18,False,False,True,True,True,True,ec2-54-79-3-18.ap-southeast-2.compute.amazonaws.com,False,False
17.253.6.85,False,False,True,True,True,True,usatl4-doh-003.aaplimg.com,False,False
45.90.28.154,True,True,True,True,True,True,dns1.nextdns.io,False,True
34.247.230.158,False,False,False,True,False,False,ec2-34-247-230-158.eu-west-1.compute.amazonaws.com,False,False
5.1.32.33,False,False,True,True,True,True,dns2.prisconetworks.com,False,True
209.208.26.145,False,False,True,True,True,True,atlantic.dyn1.de,False,True
204.15.75.156,False,False,True,True,True,True,host156.rainr.net,False,False
83.69.169.222,False,False,True,True,True,True,oak.ncp.ru,False,False
210.138.123.89,False,False,False,True,False,False,cor-pure160.cns.2iij.net,False,False
45.90.28.121,True,True,True,True,True,True,dns1.nextdns.io,False,True
92.223.65.71,False,False,True,True,True,True,dns.comss.one,False,True
109.24.72.150,False,False,True,True,True,True,109.24.72.150,False,False
194.87.94.229,False,False,True,True,True,True,ptr.ruvds.com,False,True
5.34.180.247,False,False,True,True,True,True,vds-dumonchik-79509.itldc-customer.net,False,False
45.90.29.75,True,True,True,True,True,True,45.90.29.75,False,False
147.162.22.1,False,False,True,False,True,False,galileo.math.unipd.it,False,False
130.255.78.51,False,False,False,False,True,True,mail.dnswl.org,False,True
217.169.20.22,False,False,True,True,True,True,dns.aa.net.uk,False,True
80.124.140.200,False,False,True,True,True,True,lestudio.sfr.fr.casepp.sfr.fr,False,False
17.253.56.85,False,False,True,True,True,True,defra3-doh-003.aaplimg.com,False,False
82.64.205.253,False,False,True,True,True,True,82-64-205-253.subs.proxad.net,False,False
45.125.0.53,False,False,True,True,True,True,45.125.0.53,False,False
9.9.9.9,False,False,True,True,True,True,dns9.quad9.net,False,True
167.71.190.157,False,False,True,True,True,True,labs.syshero.org,False,False
45.90.28.220,True,True,True,True,True,True,dns1.nextdns.io,False,True
104.198.99.225,False,False,True,True,True,True,225.99.198.104.bc.googleusercontent.com,False,False
217.0.43.2,False,False,True,True,True,True,h-nxr-a02.isp.t-ipnet.de,False,False
45.90.30.177,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.29.50,True,True,True,True,True,True,45.90.29.50,False,False
80.124.140.233,False,False,True,True,True,True,forum.sfr.fr.casepp.sfr.fr,False,False
47.108.0.58,False,False,True,True,True,True,47.108.0.58,False,False
45.90.28.37,True,True,True,True,True,True,dns1.nextdns.io,False,True
3.248.149.109,False,False,False,True,False,False,ec2-3-248-149-109.eu-west-1.compute.amazonaws.com,False,False
209.177.145.66,False,False,True,True,True,True,dns2-lga.securd.com,False,False
109.24.70.2,False,False,True,True,True,True,assistance.sfr.fr.casepp.sfr.fr,False,False
45.90.30.169,True,True,True,True,True,True,dns2.nextdns.io,False,True
213.149.240.21,False,False,True,True,True,True,mail21.es.34web.net,False,False
45.90.29.141,True,True,True,True,True,True,45.90.29.141,False,False
45.77.229.157,False,False,False,True,False,True,carbon.junesta.net,False,False
106.11.37.96,False,False,True,True,True,True,106.11.37.96,False,False
185.183.159.34,False,False,True,True,True,True,abel.waringer-atg.de,False,False
147.230.16.240,False,False,False,True,False,True,nsb.tul.cz,False,False
80.125.181.183,False,False,True,True,True,True,extachatweb.sfr.fr.casepp.sfr.fr,False,False
45.90.28.12,True,True,True,True,True,True,dns1.nextdns.io,False,True
195.228.221.132,False,False,False,True,False,False,195.228.221.132,False,False
45.90.28.164,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.30.32,True,True,True,True,True,True,dns2.nextdns.io,False,True
222.124.173.197,False,False,True,True,True,True,222.124.173.197,False,False
203.180.146.203,False,False,False,True,False,False,cor-pure91.cns.2iij.net,False,False
80.125.161.90,False,False,True,True,True,True,mtpremium.services.sfr.fr.casepp.sfr.fr,False,False
37.252.254.39,True,True,True,True,True,True,dns.nextdns.io,False,True
80.125.180.161,False,False,True,True,True,True,espace-client.m.sfr.fr.casepp.sfr.fr,False,False
80.125.180.124,False,False,True,True,True,True,extctcweb1024.sfr.fr.casepp.sfr.fr,False,False
194.191.40.97,False,False,True,True,True,True,194.191.40.97,False,False
194.87.239.59,False,False,True,True,True,True,ptr.ruvds.com,False,True
45.90.28.173,True,True,True,True,True,True,dns1.nextdns.io,False,True
104.225.12.24,False,False,True,True,True,True,104.225.12.24,False,False
45.90.30.214,True,True,True,True,True,True,dns2.nextdns.io,False,True
139.199.193.210,False,False,True,True,True,True,139.199.193.210,False,False
52.49.195.5,False,False,False,True,False,False,ec2-52-49-195-5.eu-west-1.compute.amazonaws.com,False,False
45.90.28.36,True,True,True,True,True,True,dns1.nextdns.io,False,True
210.138.123.109,False,False,False,False,False,True,cor-secure1611.cns.2iij.net,False,False
195.244.44.45,True,False,True,False,True,False,195.244.44.45,False,False
130.61.69.193,False,False,True,True,True,True,130.61.69.193,False,False
45.90.28.197,True,True,True,True,True,True,dns1.nextdns.io,False,True
80.125.181.179,False,False,True,True,True,True,pates.services.sfr.fr.casepp.sfr.fr,False,False
180.163.223.231,False,False,False,True,True,True,180.163.223.231,False,False
185.229.226.28,True,True,True,True,True,True,185.229.226.28,False,False
91.217.86.4,False,False,True,True,True,True,dns0.btnet.de,False,False
221.181.72.233,False,False,False,True,True,True,,False,False
45.90.28.103,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.29.8,True,True,True,True,True,True,45.90.29.8,False,False
79.143.240.7,False,False,True,True,True,True,res-acst3.absolight.net,False,False
17.253.24.213,False,False,True,True,True,True,uschi5-doh-004.aaplimg.com,False,False
80.125.161.86,False,False,True,True,True,True,cms.sfr.fr.casepp.sfr.fr,False,False
45.90.28.106,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.28.84,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.60.186.33,False,False,True,True,True,True,45.60.186.33,False,False
86.159.144.0,False,False,True,True,True,True,host86-159-144-0.range86-159.btcentralplus.com,False,False
45.90.30.3,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.30.3,True,True,True,True,True,True,dns2.nextdns.io,False,True
210.128.97.85,False,False,False,True,False,True,per-pure011.cns.2iij.net,False,False
45.90.30.80,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.28.208,True,True,True,True,True,True,dns1.nextdns.io,False,True
3.121.138.96,False,False,True,True,True,True,ec2-3-121-138-96.eu-central-1.compute.amazonaws.com,False,False
45.90.30.113,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.29.128,True,True,True,True,True,True,45.90.29.128,False,False
45.90.28.199,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.28.249,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.29.223,True,True,True,True,True,True,45.90.29.223,False,False
45.90.30.76,True,True,True,True,True,True,dns2.nextdns.io,False,True
44.238.109.133,False,False,True,True,True,True,ec2-44-238-109-133.us-west-2.compute.amazonaws.com,False,False
45.90.28.76,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.77.154.135,False,False,True,True,True,True,45.77.154.135.vultr.com,False,False
45.90.29.16,True,True,True,True,True,True,45.90.29.16,False,False
17.253.12.215,False,False,True,True,True,True,usmia1-doh-006.aaplimg.com,False,False
104.225.11.200,False,False,True,True,True,True,dns2-iad.securd.com,False,False
159.203.35.192,False,False,True,True,True,True,cv-dns-on-ca-1.cloudveil.org,False,False
210.138.123.74,False,False,False,False,False,True,cor-pure1601.cns.2iij.net,False,False
195.161.115.16,False,False,True,True,True,True,195.161.115.16,False,False
39.103.26.199,False,False,True,True,True,True,39.103.26.199,False,False
47.103.166.53,False,False,True,True,True,True,47.103.166.53,False,False
210.138.123.76,False,False,False,True,False,True,cor-secure1600.cns.2iij.net,False,False
130.59.31.251,False,False,True,True,True,True,dns-cache.switch.ch,False,False
80.124.140.164,False,False,True,True,True,True,cms.gws-mobile.sfr.fr.casepp.sfr.fr,False,False
78.128.99.220,False,False,True,True,True,True,78.128.99.220,False,False
154.121.2.53,False,False,True,True,True,True,154.121.2.53,False,False
107.20.123.160,False,False,True,True,True,True,ec2-107-20-123-160.compute-1.amazonaws.com,False,False
45.90.30.15,True,True,True,True,True,True,dns2.nextdns.io,False,True
210.130.0.21,False,False,False,False,False,True,ns22.iij.ad.jp,False,False
45.90.29.155,True,True,True,True,True,True,45.90.29.155,False,False
80.125.180.154,False,False,True,True,True,True,ezy.sfr.fr.backup.casepp.sfr.fr,False,False
45.90.29.207,True,True,True,True,True,True,45.90.29.207,False,False
54.246.187.60,False,False,False,True,False,False,ec2-54-246-187-60.eu-west-1.compute.amazonaws.com,False,False
170.39.227.247,True,True,True,True,True,True,dns.nextdns.io,False,True
54.194.121.142,False,False,False,True,False,False,ec2-54-194-121-142.eu-west-1.compute.amazonaws.com,False,False
194.50.94.140,False,False,True,True,True,True,de-dus01.adm.moulticast.net,False,False
143.244.33.74,False,False,True,True,True,True,unn-143-244-33-74.datapacket.com,False,False
140.207.198.6,False,False,True,True,True,True,pub1.sdns.360.cn,False,False
